danceability,energy,acousticness,loudness,liked
0.803,0.624,0.451,-6.764,0
0.762,0.703,0.206,-7.951,1
0.261,0.0149,0.992,-27.528,0
0.722,0.736,0.431,-6.994,1
0.787,0.572,0.145,-7.516,1
0.778,0.632,0.0404,-6.415,1
0.666,0.589,0.555,-8.405,1
0.922,0.712,0.0779,-6.024,1
0.794,0.659,0.143,-7.063,0
0.853,0.668,0.263,-6.995,1
0.297,0.993,0.2,-7.173,0
0.816,0.433,0.00471,-9.19,1
0.297,0.973,0.00146,-4.505,0
0.564,0.743,0.584,-5.782,1
0.64,0.957,0.0431,-2.336,1
0.684,0.64,0.221,-9.906,0
0.85,0.853,0.0155,-5.65,1
0.745,0.456,0.44,-9.482,0
0.754,0.475,0.523,-10.889,1
0.797,0.852,0.0555,-5.202,1
0.798,0.835,0.165,-3.832,1
0.438,0.0825,0.983,-21.686,0
0.802,0.549,0.268,-8.6,1
0.6,0.535,0.274,-12.028,1
0.729,0.533,0.747,-10.104,0
0.867,0.457,0.0987,-7.908,1
0.65,0.545,0.271,-7.712,1
0.809,0.574,0.4,-8.546,1
0.749,0.839,0.0867,-4.847,1
0.657,0.333,0.0608,-13.553,1
0.689,0.68,0.392,-6.551,1
0.668,0.459,0.0499,-12.072,1
0.291,0.98,0.00127,-5.138,0
0.573,0.581,0.753,-9.026,1
0.608,0.471,0.446,-8.664,0
0.307,0.0515,0.708,-28.493,0
0.784,0.7,0.491,-7.649,0
0.448,0.97,0.000428,-4.197,0
0.648,0.751,0.0182,-8.582,0
0.895,0.479,0.208,-9.071,1
0.358,0.977,0.7,-8.179,0
0.742,0.423,0.832,-9.795,1
0.603,0.886,0.00045,-3.777,1
0.839,0.629,0.241,-5.663,1
0.184,0.974,0.955,-6.237,0
0.373,0.98,0.000319,-5.016,0
0.826,0.76,0.392,-6.382,0
0.924,0.748,0.174,-3.645,1
0.267,0.0024,0.995,-42.261,0
0.462,0.974,0.119,-5.82,0
0.616,0.534,0.639,-10.264,1
0.878,0.622,0.153,-6.995,1
0.581,0.85,0.185,-3.45,1
0.656,0.381,0.653,-8.757,0
0.363,0.994,0.000319,-5.781,0
0.568,0.788,0.191,-7.654,1
0.809,0.653,0.335,-7.178,1
0.757,0.451,0.0485,-11.121,1
0.364,0.00799,0.978,-33.09,0
0.247,0.992,0.995,-7.766,0
0.598,0.673,0.0422,-10.431,0
0.826,0.556,0.684,-8.516,1
0.318,0.0633,0.992,-23.869,0
0.506,0.881,0.000163,-5.491,1
0.138,0.991,0.955,-5.661,0
0.531,0.803,0.325,-3.929,1
0.791,0.5,0.603,-9.805,1
0.68,0.877,0.191,-10.241,0
0.752,0.468,0.805,-9.966,1
0.797,0.654,0.633,-7.373,1
0.774,0.853,0.0275,-6.933,1
0.851,0.686,0.597,-8.143,1
0.75,0.772,0.206,-8.706,1
0.843,0.656,0.0466,-11.184,0
0.539,0.487,0.309,-9.653,0
0.454,0.968,0.119,-6.289,0
0.446,0.977,0.000535,-5.036,0
0.827,0.804,0.455,-5.846,1
0.74,0.403,0.509,-9.311,1
0.833,0.813,0.244,-5.708,1
0.789,0.84,0.0309,-5.29,1
0.62,0.573,0.271,-11.893,0
0.752,0.905,0.0931,-7.015,1
0.701,0.341,0.499,-12.26,0
0.83,0.707,0.167,-5.777,1
0.779,0.705,0.277,-7.834,0
0.263,0.202,0.984,-17.687,0
0.338,0.988,0.855,-7.29,0
0.814,0.672,0.0435,-12.068,0
0.78,0.551,0.0613,-13.038,0
0.567,0.797,0.392,-3.071,1
0.651,0.811,0.0648,-13.87,0
0.798,0.564,0.23,-5.98,0
0.798,0.746,0.0304,-8.639,0
0.908,0.61,0.213,-5.735,1
0.783,0.836,0.396,-9.223,0
0.83,0.612,0.112,-7.446,1
0.832,0.553,0.0422,-13.705,0
0.764,0.812,0.202,-4.946,1
0.901,0.939,0.117,-2.762,1
0.715,0.682,0.325,-7.714,0
0.743,0.663,0.0148,-8.47,1
0.871,0.673,0.287,-5.363,1
0.251,0.981,0.765,-7.282,0
0.792,0.536,0.899,-10.784,1
0.819,0.811,0.203,-7.76,0
0.29,0.934,0.000325,-4.679,0
0.235,0.365,0.927,-13.864,0
0.677,0.616,0.458,-13.826,0
0.875,0.474,0.3,-8.24,1
0.379,0.075,0.992,-20.328,0
0.641,0.673,0.429,-7.017,1
0.705,0.97,0.241,-3.28,1
0.28,0.104,0.935,-19.802,0
0.256,0.952,0.22,-8.631,0
0.245,0.915,0.94,-8.992,0
0.72,0.828,0.185,-9.211,0
0.592,0.371,0.4,-9.965,0
0.878,0.6,0.405,-7.856,1
0.828,0.748,0.639,-8.348,1
0.671,0.584,0.65,-9.959,1
0.697,0.809,0.114,-8.197,0
0.784,0.902,0.00308,-5.308,1
0.847,0.845,0.279,-2.901,1
0.915,0.551,0.0342,-10.49,1
0.696,0.805,0.203,-7.082,1
0.25,0.982,0.5,-7.911,0
0.648,0.465,0.772,-9.716,0
0.609,0.517,0.231,-7.557,0
0.213,0.0656,0.992,-24.81,0
0.909,0.582,0.0696,-5.357,0
0.777,0.698,0.293,-7.706,0
0.196,0.983,0.5,-8.466,0
0.816,0.667,0.235,-8.561,1
0.808,0.648,0.396,-5.49,1
0.23,0.0487,0.986,-27.675,0
0.912,0.577,0.106,-6.657,1
0.456,0.456,0.973,-16.055,0
0.334,0.00732,0.991,-30.908,0
0.827,0.703,0.0617,-4.623,1
0.699,0.61,0.00153,-6.9,1
0.751,0.72,0.295,-4.86,1
0.392,0.0536,0.995,-23.399,0
0.461,0.918,0.405,-8.507,0
0.13,0.947,0.5,-5.888,0
0.651,0.639,0.019,-7.836,0
0.266,0.986,0.000386,-8.346,0
0.483,0.941,0.000526,-3.598,1
0.726,0.715,0.00108,-4.261,1
0.829,0.708,0.329,-5.05,1
0.75,0.758,0.318,-7.112,1
0.734,0.425,0.131,-9.773,0
0.798,0.567,0.122,-6.61,1
0.357,0.98,0.96,-6.835,0
0.688,0.569,0.392,-7.007,0
0.7,0.719,0.725,-6.12,1
0.883,0.558,0.542,-6.382,1
0.705,0.847,0.414,-2.588,0
0.368,0.00363,0.993,-36.759,0
0.191,0.0582,0.961,-25.398,0
0.87,0.565,0.641,-8.884,1
0.946,0.848,0.513,-3.668,1
0.853,0.616,0.0104,-8.239,1
0.452,0.962,0.00901,-3.063,1
0.889,0.646,0.195,-6.366,0
0.72,0.67,0.0857,-8.39,1
0.792,0.627,0.305,-7.464,1
0.335,0.0287,0.991,-27.4,0
0.463,0.155,0.877,-17.164,0
0.849,0.813,0.52,-5.335,1
0.205,0.129,0.968,-18.197,0
0.191,0.0317,0.984,-35.616,0
0.901,0.653,0.466,-6.199,1
0.45,0.952,0.000243,-5.075,1
0.656,0.9,0.0791,-9.583,0
0.712,0.552,0.0752,-15.485,0
0.447,0.449,0.934,-10.634,0
0.716,0.946,0.094,-3.412,1
0.795,0.492,0.416,-10.775,1
0.767,0.659,0.785,-4.541,1
0.797,0.468,0.6,-9.28,0
0.8,0.719,0.109,-6.262,1
0.64,0.852,0.00418,-6.81,1
0.571,0.996,0.226,-4.907,0
0.762,0.6,0.542,-7.585,0
0.583,0.381,0.416,-10.033,0
0.533,0.593,0.156,-5.284,1
0.864,0.629,0.0987,-6.602,1
0.856,0.602,0.127,-8.173,1
0.225,0.98,0.857,-5.626,0
0.166,0.0551,0.976,-19.494,0
0.862,0.624,0.0192,-11.63,0
0.499,0.351,0.951,-11.509,0
0.574,0.729,0.0406,-5.838,1
0.747,0.666,0.13,-7.845,1
